adduct,log10freq,massdiff,nummol,charge
[2M+CaAc-2H]-,-3.518434068,96.96078,2,-1
[2M+Na2CaAc3-2H]-,-4.001498123,260.96692,2,-1
[2M+Na-2H]-,-1.864863366,20.97466,2,-1
[2M+NaCaAc2-2H]-,-3.815195576,178.96385,2,-1
[2M-H]-,-3.115037075,-1.00728,2,-1
[M+2Na-3H]-,-2.577378751,42.9566,1,-1
[M+Ca2Ac2-4H]2-,-2.921291274,193.92156,1,-2
[M+Ca2Ac3-2H]-,-3.361485094,254.94997,1,-1
[M+Ca2Ac4-H]-,-3.038208607,314.9711,1,-1
[M+CaAc2-H]-,-1.738080622,156.98191,1,-1
[M+CaAc-2H]-,-1.712554791,96.96078,1,-1
[M+CaAc-3H]2-,-2.257232047,95.9535,1,-2
[M+FeO(OH)-H]-,-3.558139435,87.92532,1,-1
[M+H2SiO3-H]-,-2.68428749,76.97004,1,-1
[M+H4SiO4-H]-,-2.761198801,94.98061,1,-1
[M+H6Si2O7-H]-,-2.196996667,172.95793,1,-1
[M+H8Si3O10-H]-,-3.27569087,250.93525,1,-1
[M+K-2H]-,-3.318105242,36.9486,1,-1
[M+KAc-H]-,-3.871669925,96.96973,1,-1
[M+Mg-4H]2-,-2.478355566,19.95482,1,-2
[M+MgAc2-H]-,-2.801789908,141.00436,1,-1
[M+MgAc-2H]-,-2.485114649,80.98323,1,-1
[M+MgAc-3H]2-,-3.028196327,79.97595,1,-2
[M+Na2(OH)-2H]-,-3.34804141,60.96717,1,-1
[M+Na2(OH)Ac-H]-,-3.300827376,120.9883,1,-1
[M+Na2Ac2-H]-,-2.292516471,162.99886,1,-1
[M+Na2Ac-2H]-,-2.457492405,102.97773,1,-1
[M+Na2Ca2Ac4-3H]-,-3.138808023,358.93498,1,-1
[M+Na2Ca2Ac6-H]-,-3.096475226,478.97724,1,-1
[M+Na2CaAc2-3H]-,-2.476211868,200.94579,1,-1
[M+Na2CaAc3-2H]-,-2.863686409,260.96692,1,-1
[M+Na2CaAc4-H]-,-2.344866769,320.98805,1,-1
[M+Na-2H]-,-1.567214651,20.97466,1,-1
[M+Na3Ac2-2H]-,-2.881989265,184.9808,1,-1
[M+Na3Ac3-H]-,-2.630287586,245.00193,1,-1
[M+Na3Ac-3H]-,-2.764603724,124.95967,1,-1
[M+Na3Ca2Ac4-5H]2-,-3.106566815,379.90964,1,-2
[M+Na3CaAc3-3H]-,-2.826730022,282.94886,1,-1
[M+Na3CaAc4-2H]-,-3.519018076,342.96999,1,-1
[M+Na3CaAc5-H]-,-2.581286796,402.99112,1,-1
[M+Na4Ac3-2H]-,-3.049404682,266.98387,1,-1
[M+Na4Ac4-H]-,-3.016739936,327.005,1,-1
[M+Na4CaAc3-4H]-,-3.238337562,304.9308,1,-1
[M+Na4CaAc4-3H]-,-3.134945525,364.95193,1,-1
[M+Na4CaAc6-H]-,-3.181286292,484.99419,1,-1
[M+NaAc-H]-,-1.233009262,80.99579,1,-1
[M+NaCa2Ac4-2H]-,-3.843749884,336.95304,1,-1
[M+NaCa2Ac5-H]-,-3.063183945,396.97417,1,-1
[M+NaCaAc2-2H]-,-2.41230715,178.96385,1,-1
[M+NaCaAc3-H]-,-2.063884392,238.98498,1,-1
[M+NaCaAc-3H]-,-2.227515836,118.94272,1,-1
[M+NaMgAc3-H]-,-3.489313488,223.00743,1,-1
[M+NaMgAc-3H]-,-3.034081325,102.96517,1,-1
[M+NaNO3-H]-,-1.075763886,83.97031,1,-1
[M+NaOH-H]-,-3.614953729,38.98523,1,-1
[M+SiO2-H]-,-3.600779213,58.95948,1,-1
[M-CO2-H]-,-2.735746495,-44.99711,1,-1
[M-H]-,-0.197491397,-1.00728,1,-1
[M-H2O+NH3-H]-,-3.261834611,-1.99129,1,-1
[M-H2O-H]-,-2.34724456,-19.01784,1,-1
[M-HPO3-H]-,-2.249985518,-80.97361,1,-1
[M-2H]2-,-1.600415693,-2.01456,1,-2
[M+Na-3H]2-,-4.445513733,19.96738,1,-2
[M-H-NH3]-,-2.144483738,-18.03383,1,-1
[M-H+H2O]-,-2.331570381,17.00332,1,-1
[3M-H]-,-2.190241228,-1.00728,3,-1
