"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","cliqueGroup","isotope","mass1","an1","score1","mass2","an2","score2","mass3","an3","score3","mass4","an4","score4","mass5","an5","score5"
"CP00001",650.952297820633,650.952209472656,650.952514648438,1.57898,0.586228,2.22773,8540.25688266367,8538.94368106367,8341.7685546875,8341,1,1,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00002",319.007828488099,319.0078125,319.007873535156,1.57898,0.93073,2.55248,18011.2277185547,18009.9303185547,18582.853515625,18582,1,2,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00003",242.082450395757,242.082107543945,242.082885742188,12.32,7.74986,14.6056,162995.156235955,162987.957708955,41347.8359375,41347,1,1687,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00004",242.082418757588,242.082122802734,242.08268737793,4.16798,2.22773,8.07561,143405.137500673,143398.945627732,33402.03515625,33401,1,1824,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00005",242.082486079655,242.082305908203,242.082717895508,17.2184,14.6056,21.4595,171007.232646025,171000.036051025,34292.7734375,34292,1,2098,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00006",174.121547794495,174.121459960938,174.121597290039,12.9732,9.70424,15.2568,115597.810255522,68715.3333190454,41191.40234375,69,1,3642,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00007",261.137518068065,261.137481689453,261.137573242188,30.6591,29.9485,31.6398,9700.52448371095,9699.17144371095,8258.6982421875,8258,1,7,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00008",266.078529949606,266.077850341797,266.079376220703,51.2872,41.8064,60.3617,595359.97340238,595341.092570801,51871.2421875,51870,1,156,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00009",759.052180376137,759.051086425781,759.053100585938,68.5172,66.9007,69.8053,31423.5528289714,31263.2501485495,26742.927734375,28,1,30,"M1 [1]",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00010",435.144854198313,435.143768310547,435.145782470703,68.1934,67.5466,71.151,16289.7186081498,16183.5366768679,10966.6923828125,16,1,11,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00011",444.904078104592,444.903472900391,444.904235839844,68.1934,67.2234,71.4733,21000.868878001,20866.077118757,12015.3017578125,18,1,11,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00012",384.883135362937,384.882415771484,384.884216308594,69.1594,66.9007,74.0488,34073.3118113392,33904.9277502534,11586.6572265625,19,1,30,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00013",423.074310745638,423.073852539062,423.074645996094,70.4497,68.8377,76.3015,25871.3135618419,25685.1460317189,22869.41015625,25,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00014",423.074310745638,423.073852539062,423.074645996094,70.4497,71.151,72.4398,6939.90418710942,6887.09259367639,10769.84375,25,1,69,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00015",759.0546280068,759.052795410156,759.058715820312,69.4837,67.8714,71.7947,30369.4824279623,30256.0645758334,23346.361328125,30,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00016",378.891935271665,378.891479492188,378.892791748047,68.8377,67.2234,71.7947,31225.0975347378,31221.8323204521,19735.16796875,10892,1,30,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00017",711.308308468952,711.304931640625,711.310302734375,68.8377,66.5781,70.8294,41790.7069403546,41786.7826634315,23211.19921875,23210,1,30,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00018",777.321670421503,777.320556640625,777.322937011719,69.8053,68.5172,70.8294,22033.0012181641,22031.3496467355,21645.15234375,21644,1,220,"M1 [3]",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00019",348.924997171568,348.924560546875,348.92529296875,69.4837,67.5466,72.1172,52417.3476015555,52153.6270404033,26514.7265625,36,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00020",382.146913473739,382.146423339844,382.147888183594,69.8053,68.1934,72.1172,28710.6636532878,28615.0673898532,19835.107421875,29,1,137,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00021",403.138476826276,403.138000488281,403.139251708984,69.8053,67.5466,71.151,27943.7580256392,27879.6848932342,22828.71875,50,1,220,"M1 [7]",381.1619,"[M+Na-2H]-",45.2496,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00022",358.238874246539,358.238739013672,358.239135742188,70.4497,69.1594,72.4398,24050.0193840625,23984.6176007703,12497.8076171875,23,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00023",371.065804437219,371.064971923828,371.066497802734,70.4497,69.1594,71.4733,15314.3618572265,15312.3785143694,9835.650390625,9835,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00024",391.262301389768,391.262054443359,391.262634277344,70.4497,69.1594,73.727,25902.4667532645,25835.3515807645,11741.0673828125,24,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00025",404.951784162062,404.951019287109,404.952301025391,69.1594,66.5781,73.0825,99235.0330099706,98768.6006130518,34754.30859375,38,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00026",407.169216303333,407.168762207031,407.170043945312,69.8053,66.9007,72.4398,41462.7268610754,41311.9675305005,31395.30078125,61,1,220,"M0",409.18,"[Cat-2H]-",23.0608,204.0873,"[2M-H]-",20.9999,NA,NA,0,NA,NA,0,NA,NA,0
"CP00027",440.126838499183,440.126098632812,440.127258300781,70.1268,68.1934,71.4733,35402.1502894922,35399.5263694922,26426.6328125,26426,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00028",468.150069112407,468.148864746094,468.151947021484,69.8053,67.8714,71.4733,36116.4679448198,36113.1934902743,24610.65625,24610,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00029",662.842110355625,662.839172363281,662.84619140625,69.1594,65.2823,72.7617,111401.502679021,110749.889740238,40356.26953125,42,1,30,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00030",166.040478756361,166.040344238281,166.040725708008,69.1594,66.5781,72.7617,103825.478997533,103539.348055519,29763.302734375,43,1,30,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00031",166.040465360067,166.040344238281,166.040725708008,69.8053,69.8053,72.7617,44692.8268452691,44556.9207963153,26419.8515625,43,1,78,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00032",391.164222937473,391.163482666016,391.165802001953,70.4497,68.1934,76.6217,42640.3547547664,42550.5313106768,28544.21875,61,1,220,"M1 [5]",409.18,"[M-H-H2O]-",23.0608,392.1821,"[Cat-2H]-",20.9999,NA,NA,0,NA,NA,0,NA,NA,0
"CP00033",418.148986868916,418.148010253906,418.149963378906,70.4497,67.8714,74.6941,43297.4141918853,42977.7763371435,23287.37109375,30,1,220,"M1 [8]",436.1639,"[M-H-H2O]-",100,418.1528,"[M-H]-",88.0615,NA,NA,0,NA,NA,0,NA,NA,0
"CP00034",475.343566542583,475.343383789062,475.343811035156,71.151,70.1268,71.7947,13883.023979043,13881.689659043,12709.0751953125,12708,1,78,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00035",507.242247395723,507.241271972656,507.243286132812,71.4733,69.4837,74.0488,35199.045605692,34893.1949326794,18185.900390625,18,1,218,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00036",598.130487850185,598.129333496094,598.131103515625,70.8294,68.1934,71.7947,12695.8001448021,12662.9008433612,8541.21484375,23,1,78,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00037",224.027768889981,224.02702331543,224.027923583984,72.4398,68.8377,75.6607,76467.9764198755,75171.2116605897,36926.5,18,1,37,"M0",242.0616,"[M-H-NH3]-",89.761,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00038",323.144370491825,323.143798828125,323.145202636719,70.8294,68.5172,74.6941,28259.0463716797,28120.4660110073,13099.1171875,23,1,220,"M0",NA,"",47.4009,162.0767,"[2M-H]-",31.7583,NA,NA,0,NA,NA,0,NA,NA,0
"CP00039",329.106726848525,329.106475830078,329.106872558594,71.151,70.4497,72.1172,11109.2202912597,11107.8862912597,9076.6591796875,9076,1,48,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00040",329.154303423956,329.153259277344,329.155548095703,70.4497,68.8377,72.7617,28249.2933720704,28182.4205901647,13301.4501953125,35,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00041",405.206965912017,405.206573486328,405.207275390625,70.8294,69.1594,73.727,30092.7728295898,30025.0682345087,13283.8759765625,31,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00042",410.943320004863,410.942626953125,410.944244384766,69.8053,67.5466,72.7617,47163.8567510041,47159.2935385041,22264.0078125,22263,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00043",438.912439860858,438.911926269531,438.913024902344,70.8294,67.2234,72.1172,18706.3561498698,18600.4722968499,11946.845703125,14,1,43,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00044",463.966449406153,463.966064453125,463.966918945312,71.7947,69.4837,73.0825,22218.227125941,22114.3654384453,14025.8994140625,23,1,48,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00045",491.283981698215,491.282470703125,491.284545898438,69.8053,67.8714,72.1172,28491.625569336,28488.359569336,11456.154296875,10867,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00046",502.148203859391,502.146575927734,502.148986816406,70.8294,68.5172,76.3015,45326.9089388428,44786.9767473252,22687,21,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00047",695.313689436862,695.312255859375,695.315246582031,68.8377,65.2823,74.0488,195239.032868019,194604.902573408,50585.33203125,37,1,30,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00048",240.06411977619,240.064041137695,240.064239501953,71.4733,70.4497,72.4398,34841.1539317871,34839.4955151204,24811.076171875,24810,1,48,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00049",346.928016038665,346.927520751953,346.928466796875,69.4837,66.9007,72.4398,102283.309359203,102278.096088615,33375.5078125,33375,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00050",357.149420875577,357.148834228516,357.149932861328,69.8053,67.2234,74.3707,108435.230540967,106514.226484702,33978.7109375,15,1,220,"M0",375.1832,"[M-H-NH3]-",23.0608,NA,"",20.9999,NA,NA,0,NA,NA,0,NA,NA,0
"CP00051",435.157014096157,435.156158447266,435.157775878906,70.1268,67.8714,73.727,94328.5958445531,93925.9264501304,41183.1953125,43,1,220,"M0",436.1639,"[M-H]-",100,418.1528,"[M-H+H2O]-",88.0615,NA,NA,0,NA,NA,0,NA,NA,0
"CP00052",298.108451716038,298.108184814453,298.108642578125,72.1172,69.4837,75.9816,32278.2525729834,32210.1487656892,13312.439453125,34,1,37,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00053",298.108451716038,298.108184814453,298.108642578125,72.1172,72.1172,73.4034,11125.7744462891,11105.5536556625,13044.8349609375,34,1,53,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00054",365.246471164608,365.24609375,365.247253417969,71.4733,68.1934,74.3707,41542.9990921258,41375.4593831534,25373.0625,41,1,78,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00055",381.143542063756,381.143218994141,381.143920898438,70.1268,67.2234,74.3707,187508.244482409,186334.750087917,57989.4296875,32,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00056",381.143560157612,381.143218994141,381.143981933594,70.4497,70.4497,74.3707,99528.3161225584,98872.6167322054,48236.9609375,32,1,48,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00057",382.885900583031,382.885528564453,382.886291503906,69.1594,66.2537,73.4034,117257.428851638,117250.929124365,31994.9453125,31994,1,30,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00058",382.88588806445,382.885528564453,382.886291503906,69.4837,66.2537,69.4837,60945.1852900391,60941.9552900391,31994.9453125,31994,1,11,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00059",390.13487858187,390.134368896484,390.135498046875,72.4398,69.8053,74.6941,29402.9841984375,29161.8680277188,10261.345703125,12,1,519,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00060",397.226141839286,397.22607421875,397.226287841797,72.4398,70.4497,75.0167,24827.8833703613,24690.7640885756,21016.75,9,1,60,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00061",399.311502044081,399.311096191406,399.312286376953,71.151,67.8714,72.7617,68812.0665237892,68591.379048435,32387.908203125,46,1,78,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00062",406.949076460007,406.948486328125,406.949615478516,69.1594,66.5781,73.727,225588.626363769,224871.574575868,63689.01171875,62,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00063",447.063842300899,447.063049316406,447.064636230469,71.151,67.8714,74.0488,40639.6489915296,40281.3199426913,24464.966796875,25,1,37,"M1 [18]",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00064",467.243613216669,467.243286132812,467.244018554688,71.4733,69.1594,73.4034,48398.2919402043,48395.0273248197,25887.21484375,25886,1,37,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00065",467.243613216669,467.243286132812,467.244018554688,71.4733,69.1594,71.4733,20494.4279368861,20492.4445940289,12221.462890625,25886,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00066",326.103178596911,326.102844238281,326.103790283203,72.4398,71.4733,75.0167,13512.1396428445,13482.1751419336,10366.43359375,30,1,159,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00067",339.139891455467,339.139007568359,339.140563964844,71.151,68.8377,74.6941,46492.2732478408,46229.4995882903,32795.25390625,48,1,218,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00068",387.27528585639,387.274993896484,387.275817871094,70.4497,68.8377,73.0825,28137.840765024,28134.9020573317,12871.76953125,11603,1,137,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00069",417.250704938785,417.249755859375,417.251037597656,71.7947,69.8053,74.3707,40874.8218648926,40778.5766981543,25950.498046875,47,1,69,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00070",443.247714316765,443.247100830078,443.248474121094,68.8377,66.2537,74.3707,122496.429450527,121702.955349645,35391.328125,36,1,30,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00071",563.960810903506,563.959289550781,563.9619140625,71.4733,68.8377,75.3373,53599.0891356641,53345.1602429996,30332.9921875,39,1,37,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00072",349.05508448888,349.054565429688,349.0556640625,71.4733,69.1594,75.3373,70241.6643487561,70013.4636385944,31393.458984375,41,1,37,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00073",373.163727660348,373.163238525391,373.164459228516,69.8053,67.2234,74.0488,140382.465416081,140027.745279522,43024.6328125,54,1,220,"M0",375.1832,"[Cat-2H]-",23.0608,392.1821,"[M-H-H2O]-",20.9999,NA,NA,0,NA,NA,0,NA,NA,0
"CP00074",528.070588958498,528.068420410156,528.071350097656,72.1172,69.8053,75.3373,43969.7722289752,43625.8687310018,25032.49609375,27,1,519,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00075",373.296085689371,373.295440673828,373.296905517578,70.8294,68.1934,75.9816,137274.074499878,136440.743800106,42196.4921875,38,1,220,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00076",376.250829253709,376.250701904297,376.2509765625,72.7617,69.8053,74.6941,33750.7277165625,33595.5789058875,22845.935546875,29,1,101,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00077",408.945906975271,408.945526123047,408.946380615234,68.8377,65.9309,74.6941,177792.098889699,177519.491289373,54011.10546875,121,1,30,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00078",408.946018115087,408.945526123047,408.946594238281,69.8053,69.8053,74.6941,85145.3540880469,84992.0555408532,54011.10546875,121,1,78,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00079",420.250288663799,420.249786376953,420.250579833984,72.4398,69.4837,75.3373,88899.0489134766,88489.2359239587,33346.98828125,39,1,519,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00080",217.123438042274,217.123245239258,217.123794555664,71.4733,69.4837,75.3373,97168.0241179687,96532.7992665569,35099.82421875,29,1,519,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00081",219.138664554807,219.138442993164,219.138824462891,71.151,69.1594,75.0167,58627.0416323052,58316.1081256571,23466.779296875,34,1,37,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00082",219.13864365353,219.138412475586,219.138824462891,72.1172,72.1172,75.0167,23293.004257487,23149.3462144141,13485.751953125,34,1,101,"M0",220.1459,"[M-H]-",105.8846,238.157,"[M-H-H2O]-",94.1154,110.073,"[2M-H]-",91.2335,237.1725,"[M-H-NH3]-",73.6375,73.382,"[3M-H]-",72.8061
"CP00083",219.138646005716,219.138412475586,219.138824462891,71.7947,71.7947,77.2647,31845.0897053079,31640.1199855075,13485.751953125,34,1,101,"M0",220.1459,"[M-H]-",105.8846,238.157,"[M-H-H2O]-",94.1154,110.073,"[2M-H]-",91.2335,237.1725,"[M-H-NH3]-",73.6375,73.382,"[3M-H]-",72.8061
"CP00084",224.027566194838,224.026992797852,224.027816772461,72.7617,69.8053,75.6607,52554.5121135742,52418.6024816423,20135.3984375,26,1,519,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"CP00086",224.027566194838,224.026992797852,224.027816772461,72.7617,72.7617,75.6607,25697.959015625,25630.6703550774,20135.3984375,26,1,101,"M0",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
